City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,tsabong,-26.0217,22.401,29.19,33,58,4.18,BW,1679758562
85,sakakah,29.9697,40.2064,19.76,37,98,3.79,SA,1679758362
86,kichmengskiy gorodok,59.9816,45.7854,3.66,98,100,5.08,RU,1679758409
87,qasigiannguit,68.8193,-51.1922,-9.86,90,33,1.18,GL,1679758563
88,bowling green,36.9903,-86.4436,19.41,68,20,8.23,US,1679758563
89,tiksi,71.6872,128.8694,-22.55,100,37,3.38,RU,1679758563
90,ilulissat,69.2167,-51.1,-9.99,52,75,4.12,GL,1679758564
91,salamiyah,35.0113,37.0532,15.49,79,100,6.56,SY,1679758519
92,bengkulu,-3.8004,102.2655,25.69,88,100,2.63,ID,1679758564
93,el prat de llobregat,41.3278,2.0947,20.32,63,0,5.66,ES,1679758564
94,sao filipe,14.8961,-24.4956,21.5,71,49,3.4,CV,1679758564
95,vao,-22.6667,167.4833,24.54,87,99,8.06,NC,1679758564
96,russell,32.3502,-85.1999,25.6,88,0,0.0,US,1679758564
97,chicama,-7.8447,-79.1469,26.3,58,33,3.69,PE,1679758564
98,mecca,21.4267,39.8261,29.78,42,54,8.16,SA,1679758565
99,tanete,-3.9443,119.7848,23.66,96,100,0.64,ID,1679758565
100,mehamn,71.0357,27.8492,-8.05,67,20,3.6,NO,1679758565
101,novikovo,51.1537,37.8879,12.13,72,100,3.56,RU,1679758565
102,nova russas,-4.7067,-40.5631,30.58,55,69,1.67,BR,1679758565
103,altayskoye,51.9533,85.3325,-1.06,95,94,1.7,RU,1679758565
104,lakes entrance,-37.8811,147.981,14.53,79,99,1.07,AU,1679758565
105,san benito,36.6166,-121.0844,0.32,85,11,2.26,US,1679758565
106,mehriz,31.5917,54.4318,19.28,23,36,1.84,IR,1679758565
107,bamako,12.65,-8.0,37.23,10,2,3.6,ML,1679758436
108,alexandria,31.2156,29.9553,17.08,78,5,8.4,EG,1679758329
109,san quintin,30.4833,-115.95,13.27,69,0,6.35,MX,1679758566
110,siparia,10.1333,-61.5,29.9,60,100,3.67,TT,1679758566
111,lagoa,39.05,-27.9833,13.99,77,65,8.78,PT,1679758566
112,te anau,-45.4167,167.7167,7.68,90,68,1.15,NZ,1679758566
113,merauke,-8.4667,140.3333,26.04,85,46,2.77,ID,1679758566
114,zhigansk,66.7697,123.3711,-8.39,96,100,4.53,RU,1679758566
115,korla,41.7597,86.1469,11.69,24,1,0.83,CN,1679758566
116,avarua,-21.2078,-159.775,25.03,100,40,0.51,CK,1679758567
117,olafsvik,64.8945,-23.7142,-1.86,63,79,5.95,IS,1679758567
118,tizimin,21.15,-88.15,31.73,45,0,6.14,MX,1679758567
119,mangochi,-14.4782,35.2645,22.62,84,73,2.19,MW,1679758567
120,kalmunai,7.4167,81.8167,26.56,81,52,2.05,LK,1679758567
121,hamilton,39.1834,-84.5333,17.35,78,20,13.89,US,1679758434
122,cascais,38.6979,-9.4215,20.64,76,20,5.36,PT,1679758567
123,trairi,-3.2778,-39.2689,28.3,74,67,2.35,BR,1679758568
124,shasta lake,40.6804,-122.3708,4.86,53,76,1.87,US,1679758568
125,cabo san lucas,22.8909,-109.9124,20.9,64,20,0.0,MX,1679758568
126,norman wells,65.282,-126.8329,-8.98,67,75,1.03,CA,1679758568
127,mahebourg,-20.4081,57.7,27.16,78,75,1.54,MU,1679758568
128,thompson,55.7435,-97.8558,-17.91,85,20,2.06,CA,1679758568
129,san diego de los banos,22.6467,-83.3697,29.9,50,13,4.89,CU,1679758569
130,lindsay,36.203,-119.0882,7.08,86,15,1.21,US,1679758569
131,kavieng,-2.5744,150.7967,27.3,74,100,2.38,PG,1679758569
132,thinadhoo,0.5333,72.9333,27.66,77,11,2.13,MV,1679758569
133,tuatapere,-46.1333,167.6833,8.84,88,86,2.18,NZ,1679758569
134,hrodna,53.6884,23.8258,11.08,72,100,4.35,BY,1679758304
135,yelkhovka,53.8667,50.2832,10.4,73,68,4.07,RU,1679758569
136,umba,66.6871,34.3429,-8.93,84,95,5.4,RU,1679758570
137,changji,44.0167,87.3167,10.44,29,0,1.0,CN,1679758570
138,beisfjord,68.3751,17.5988,-1.97,70,39,3.38,NO,1679758570
139,mao,39.8885,4.2658,18.31,45,0,3.09,ES,1679758570
140,new norfolk,-42.7826,147.0587,10.95,67,7,1.13,AU,1679758570
141,fuerte olimpo,-21.0415,-57.8738,33.24,50,14,2.43,PY,1679758570
142,yumen,40.2833,97.2,6.09,19,0,2.23,CN,1679758570
143,tomatlan,19.9333,-105.25,27.07,30,100,1.54,MX,1679758570
144,alice springs,-23.7,133.8833,21.75,30,0,0.0,AU,1679758571
145,airai,-8.9266,125.4092,15.76,95,87,0.38,TL,1679758571
146,porosozero,62.7191,32.727,-2.03,88,100,4.87,RU,1679758571
147,maragogi,-9.0122,-35.2225,28.9,69,52,4.21,BR,1679758571
148,egvekinot,66.3167,-179.1667,-14.03,96,100,3.98,RU,1679758571
149,hasaki,35.7333,140.8333,10.22,77,100,5.17,JP,1679758571
150,lasa,46.6166,10.7002,13.53,59,79,2.46,IT,1679758571
151,mount gambier,-37.8333,140.7667,10.0,87,93,2.53,AU,1679758571
152,moroni,-11.7022,43.2551,26.89,82,93,1.61,KM,1679758572
153,andenes,69.3143,16.1194,-2.01,64,100,7.72,NO,1679758572
154,namie,37.4833,141.0,9.84,85,100,0.9,JP,1679758572
155,ormara,25.2088,64.6357,24.3,68,0,6.82,PK,1679758572
156,luderitz,-26.6481,15.1594,20.72,74,0,5.24,NA,1679758572
157,nizwa,22.9333,57.5333,25.65,27,4,1.09,OM,1679758465
158,kaitangata,-46.2817,169.8464,11.2,79,93,2.48,NZ,1679758573
159,puqi,29.7167,113.8833,8.53,91,60,0.77,CN,1679758573
160,chandbali,20.7833,86.7667,26.55,77,40,5.18,IN,1679758573
161,soyo,-6.1349,12.3689,28.16,73,66,4.07,AO,1679758573
162,yellowknife,62.456,-114.3525,-24.69,64,40,3.6,CA,1679758521
163,nanortalik,60.1432,-45.2371,-2.33,78,30,1.26,GL,1679758573
164,turukhansk,65.8167,87.9833,0.37,98,100,8.27,RU,1679758278
165,kupino,54.3663,77.2981,1.06,96,100,6.41,RU,1679758574
166,jalu,29.0331,21.5482,22.66,27,0,7.16,LY,1679758574
167,kununurra,-15.7667,128.7333,25.99,89,99,0.0,AU,1679758574
168,tera,14.0078,0.7531,38.15,5,57,0.9,NE,1679758574
169,cariamanga,-4.3333,-79.55,16.43,80,93,1.44,EC,1679758574
170,port blair,11.6667,92.75,28.02,74,40,1.54,IN,1679758574
171,puerto ayora,-0.7393,-90.3518,29.98,87,42,1.79,EC,1679758575
172,dwarka,22.2394,68.9678,24.86,63,0,4.4,IN,1679758575
173,mayna,54.1135,47.6231,9.84,72,47,5.05,RU,1679758575
174,caravelas,-17.7125,-39.2481,29.92,59,12,3.75,BR,1679758575
175,ossora,59.2353,163.0719,-15.84,78,100,1.65,RU,1679758575
176,bredasdorp,-34.5322,20.0403,20.11,76,10,9.2,ZA,1679758575
177,provideniya,64.3833,-173.3,-11.02,96,100,6.54,RU,1679758575
178,amli,20.2833,73.0167,23.23,54,3,1.62,IN,1679758575
